action;name;manufacturer;package;pins;quantity;order_quantity;location;scrap;datasheet;comment;category;cimage;appnote;price
add;74LS00;;DIP;14;0;0;;No;;Quad 2-Input NAND Gate;502;;;
add;74LS01;;DIP;14;0;0;;No;;Quad 2-Input NAND Gate (Open Collector);502;;;
add;74LS02;;DIP;14;0;0;;No;;Quad 2-Input NOR Gate;502;;;
add;74LS03;;DIP;14;0;0;;No;;Quad 2-Input NAND Gate (Open Collector);502;;;
add;74LS04;;DIP;14;0;0;;No;;Hex Inverter;502;;;
add;74LS05;;DIP;14;0;0;;No;;Hex Inverter (Open Collector);502;;;
add;74LS08;;DIP;14;0;0;;No;;Quad 2-Input AND Gate;502;;;
add;74LS10;;DIP;14;0;0;;No;;Triple 3-Input NAND Gate;502;;;
add;74LS11;;DIP;14;0;0;;No;;Triple 3-Input AND Gate;502;;;
add;74LS14;;DIP;14;0;0;;No;;Hex Inverter with Schmitt Trigger Inputs;502;;;
add;74LS20;;DIP;14;0;0;;No;;Dual 4-Input NAND Gate;502;;;
add;74LS21;;DIP;14;0;0;;No;;Dual 4-Input AND Gate;502;;;
add;74LS27;;DIP;14;0;0;;No;;Triple 3-Input NOR Gate;502;;;
add;74LS30;;DIP;14;0;0;;No;;8-Input NAND Gate;502;;;
add;74LS32;;DIP;14;0;0;;No;;Quad 2-Input OR Gate;502;;;
add;74LS42;;DIP;16;0;0;;No;;4-Line BCD to 10-Line Decimal Decoder;502;;;
add;74LS47;;DIP;16;0;0;;No;;BCD to 7-Segment Decoder/Driver (Open Collector);502;;;
add;74LS74;;DIP;14;0;0;;No;;Dual D-Type Positive-Edge-Triggered Flip-Flop;502;;;
add;74LS83;;DIP;16;0;0;;No;;4-Bit Binary Full Adder;502;;;
add;74LS85;;DIP;16;0;0;;No;;4-Bit Magnitude Comparator;502;;;
add;74LS86;;DIP;14;0;0;;No;;Quad 2-Input Exclusive-OR (XOR) Gate;502;;;
add;74LS90;;DIP;14;0;0;;No;;Decade Counter;502;;;
add;74LS93;;DIP;14;0;0;;No;;4-Bit Binary Counter;502;;;
add;74LS123;;DIP;16;0;0;;No;;Dual Retriggerable Monostable Multivibrator;502;;;
add;74LS138;;DIP;16;0;0;;No;;3-to-8 Line Decoder/Demultiplexer;502;;;
add;74LS139;;DIP;16;0;0;;No;;Dual 2-to-4 Line Decoder/Demultiplexer;502;;;
add;74LS147;;DIP;16;0;0;;No;;10-Line to 4-Line Priority Encoder;502;;;
add;74LS151;;DIP;16;0;0;;No;;8-Line to 1-Line Data Selector/Multiplexer;502;;;
add;74LS157;;DIP;16;0;0;;No;;Quad 2-Line to 1-Line Data Selector/Multiplexer;502;;;
add;74LS164;;DIP;14;0;0;;No;;8-Bit Parallel-Out Serial Shift Register;502;;;
add;74LS165;;DIP;16;0;0;;No;;8-Bit Serial/Parallel-In Parallel-Out Shift Register;502;;;
add;74LS192;;DIP;16;0;0;;No;;Presettable Synchronous 4-Bit Up/Down Decade Counter;502;;;
add;74LS193;;DIP;16;0;0;;No;;Presettable Synchronous 4-Bit Up/Down Binary Counter;502;;;
add;74LS244;;DIP;20;0;0;;No;;Octal Buffer and Line Driver (3-State);502;;;
add;74LS245;;DIP;20;0;0;;No;;Octal Bus Transceiver (3-State);502;;;
add;74LS273;;DIP;20;0;0;;No;;Octal D-Type Flip-Flop with Clear;502;;;
add;74LS373;;DIP;20;0;0;;No;;Octal D-Type Transparent Latch (3-State);502;;;
add;74LS374;;DIP;20;0;0;;No;;Octal D-Type Edge-Triggered Flip-Flop (3-State);502;;;
add;74LS541;;DIP;20;0;0;;No;;Octal Buffer and Line Driver (3-State);502;;;
add;74LS595;;DIP;16;0;0;;No;;8-bit shift registers, serial-in, parallel-out, output latches, output enable;502;;;
