action;name;manufacturer;package;pins;quantity;order_quantity;location;scrap;datasheet;comment;category;cimage;appnote;price
add;14538;;DIP;16;0;0;;No;;Dual Precision Monostable Multivibrator;501;;;
add;4000;;DIP;14;0;0;;No;;Dual 3-Input NOR Gate Plus Inverter;501;;;
add;4001;;DIP;14;0;0;;No;;Quad 2-Input NOR Gate;501;;;
add;4001;;DIP;14;0;0;;No;;Quad 2-Input NOR Gate;501;;;
add;4002;;DIP;14;0;0;;No;;Dual 4-Input NOR Gate;501;;;
add;4007;;DIP;14;0;0;;No;;Dual Complementary Pair Plus Inverter;501;;;
add;4009;;DIP;16;0;0;;No;;Hex Inverting Buffer/Converter;501;;;
add;40102;;DIP;16;0;0;;No;;8-stage presettable sync. down counter;501;;;
add;40106;;DIP;14;0;0;;No;;Hex inverters with schmitt trigger inputs;501;;;
add;40107;;DIP;8;0;0;;No;;Dual 2-input NAND buffer/driver;501;;;
add;40109;;DIP;16;0;0;;No;;Quad low-to-high voltage level shifter;501;;;
add;4010;;DIP;16;0;0;;No;;Hex non-inverted buffer/converter;501;;;
add;40110;;DIP;16;0;0;;No;;Decade Up-Down Counter/Latch/Display Driver;501;;;
add;4011;;DIP;14;0;0;;No;;Quad 2-Input NAND Gate;501;;;
add;4011;;DIP;14;0;0;;No;;Quad 2-Input NAND Gate;501;;;
add;4012;;DIP;14;0;0;;No;;Dual 4-Input NAND Gate;501;;;
add;4013;;DIP;14;0;0;;No;;Dual D-Type Flip Flop;501;;;
add;4014;;DIP;16;0;0;;No;;8-Stage Static Shift Register;501;;;
add;4015;;DIP;16;0;0;;No;;Dual 4-Stage Static Shift Register;501;;;
add;40160;;DIP;16;0;0;;No;;BCD counter;501;;;
add;40163;;DIP;16;0;0;;No;;Binary Counter with Synchronous Clear;501;;;
add;4016;;DIP;14;0;0;;No;;Quad Bilateral Switch;501;;;
add;40174;;DIP;16;0;0;;No;;Hex D-Type Flip-Flop;501;;;
add;40175;;DIP;16;0;0;;No;;Quad D-Type Flip-Flop;501;;;
add;4017;;DIP;16;0;0;;No;;Decade Counter with 10 Decoded Outputs;501;;;
add;4018;;DIP;16;0;0;;No;;Presettable Divide-By-N Counter;501;;;
add;40192;;DIP;16;0;0;;No;;Presettable BCD Up/Down Counter;501;;;
add;40193;;DIP;16;0;0;;No;;Presettable Binary Up/Down Counter;501;;;
add;40194;;DIP;16;0;0;;No;;4-Bit Bidirectional Universal Shift Register;501;;;
add;4019;;DIP;16;0;0;;No;;Quad AND/OR Select Gate;501;;;
add;4020;;DIP;16;0;0;;No;;Binary Ripple Counter 24 MHz;501;;;
add;4021;;DIP;16;0;0;;No;;8-Stage Static Shift Register;501;;;
add;4022;;DIP;16;0;0;;No;;Octal Counter with 8 Decoded Outputs;501;;;
add;4023;;DIP;14;0;0;;No;;Triple 3-Input NAND Gate;501;;;
add;4024;;DIP;14;0;0;;No;;7-Stage Ripple-Carry Binary Counter/Divider;501;;;
add;4025;;DIP;14;0;0;;No;;Triple 3-Input NOR Gate;501;;;
add;4026;;DIP;16;0;0;;No;;Decade Counter w/ 7-segment display driver;501;;;
add;4027;;DIP;16;0;0;;No;;Dual J-K Master-Slave Flip-Flop;501;;;
add;4028;;DIP;16;0;0;;No;;BCD-to-Decimal Decoders;501;;;
add;4029;;DIP;16;0;0;;No;;Presettable Up/Down Counter;501;;;
add;4030;;DIP;14;0;0;;No;;Quad Exclusive-OR Gate;501;;;
add;4031;;DIP;16;0;0;;No;;64-Stage Static Shift Register;501;;;
add;4035;;DIP;16;0;0;;No;;4-Stage Parallel In/Parallel Out Shift Register;501;;;
add;4038;;DIP;16;0;0;;No;;Triple Negative-edge-triggered Serial Adder;501;;;
add;4040;;DIP;16;0;0;;No;;12-Stage Ripple-Carry Binary Counter/Divider;501;;;
add;4042;;DIP;16;0;0;;No;;Quad Clocked D-Latch;501;;;
add;4043;;DIP;16;0;0;;No;;Quad NOR R/S Latch with 3-State Outputs;501;;;
add;4044;;DIP;16;0;0;;No;;Quad NAND R/S Latch with 3-State Outputs;501;;;
add;4046;;DIP;16;0;0;;No;;Micropower Phase-Locked Loop;501;;;
add;4047;;DIP;14;0;0;;No;;Low-Power Monostable/Astable Multivibrator;501;;;
add;4049;;DIP;16;0;0;;No;;Hex Inverting Buffer;501;;;
add;4050;;DIP;16;0;0;;No;;Hex Non-Inverting Buffer;501;;;
add;4051;;DIP;16;0;0;;No;;Single 8ch Analog Multiplexer/Demultiplexer;501;;;
add;4052;;DIP;16;0;0;;No;;Differential 4ch Analog Multiplexer/Demultiplex;501;;;
add;4053;;DIP;16;0;0;;No;;Triple 2ch Analog Multiplexer/Demultiplexer;501;;;
add;4055;;DIP;16;0;0;;No;;BCD-to-7-Segment LCD Decoder/Driver;501;;;
add;4056;;DIP;16;0;0;;No;;BCD To 7-Segment LCD Decoder/Driver;501;;;
add;4059;;DIPW;24;0;0;;No;;Programmable Divide-by-N Counter;501;;;
add;4060;;DIP;16;0;0;;No;;14-Stage Ripple-Carry Binary Counter &amp;501;;;
add;4063;;DIP;16;0;0;;No;;4-Bit Magnitude Comparator;501;;;
add;4066;;DIP;14;0;0;;No;;Quad Bilateral Switch;501;;;
add;4068;;DIP;14;0;0;;No;;8-Input NAND/AND Gate;501;;;
add;4069;;DIP;14;0;0;;No;;Hex Inverter;501;;;
add;4070;;DIP;14;0;0;;No;;Quad Exclusive-OR Gate;501;;;
add;4071;;DIP;14;0;0;;No;;Quad 2-Input OR Gate;501;;;
add;4072;;DIP;14;0;0;;No;;Dual 4-Input OR Gate;501;;;
add;4073;;DIP;14;0;0;;No;;Triple 3-Input AND Gate;501;;;
add;4075;;DIP;14;0;0;;No;;Triple 3-Input OR Gate;501;;;
add;4076;;DIP;16;0;0;;No;;4-Bit D-Type Registers;501;;;
add;4077;;DIP;14;0;0;;No;;Quad Exclusive-NOR Gate;501;;;
add;4078;;DIP;14;0;0;;No;;8-Input NOR/OR Gate;501;;;
add;4081;;DIP;14;0;0;;No;;Quad 2-Input AND Gate;501;;;
add;4082;;DIP;14;0;0;;No;;Dual 4-Input AND Gate;501;;;
add;4093;;DIP;14;0;0;;No;;Quad 2-Input NAND Schmitt Trigger inputs;501;;;
add;4094;;DIP;16;0;0;;No;;8-Stage Shift-and-Store Bus Register;501;;;
