action;name;manufacturer;package;pins;quantity;order_quantity;location;scrap;datasheet;comment;category;cimage;appnote;price
add;10;;;0;0;0;;No;;;1301;10r_5.gif;;0
add;12;;;0;0;0;;No;;;1301;12r_5.gif;;0
add;15;;;0;0;0;;No;;;1301;15r_5.gif;;0
add;18;;;0;0;0;;No;;;1301;18r_5.gif;;0
add;22;;;0;0;0;;No;;;1301;22r_5.gif;;0
add;27;;;0;0;0;;No;;;1301;27r_5.gif;;0
add;33;;;0;0;0;;No;;;1301;33r_5.gif;;0
add;39;;;0;0;0;;No;;;1301;39r_5.gif;;0
add;47;;;0;0;0;;No;;;1301;47r_5.gif;;0
add;56;;;0;0;0;;No;;;1301;56r_5.gif;;0
add;68;;;0;0;0;;No;;;1301;68r_5.gif;;0
add;82;;;0;0;0;;No;;;1301;82r_5.gif;;0
add;100;;;0;0;0;;No;;;1301;100r_5.gif;;0
add;120;;;0;0;0;;No;;;1301;120r_5.gif;;0
add;150;;;0;0;0;;No;;;1301;150r_5.gif;;0
add;180;;;0;0;0;;No;;;1301;180r_5.gif;;0
add;220;;;0;0;0;;No;;;1301;220r_5.gif;;0
add;270;;;0;0;0;;No;;;1301;270r_5.gif;;0
add;330;;;0;0;0;;No;;;1301;330r_5.gif;;0
add;390;;;0;0;0;;No;;;1301;390r_5.gif;;0
add;470;;;0;0;0;;No;;;1301;470r_5.gif;;0
add;560;;;0;0;0;;No;;;1301;560r_5.gif;;0
add;680;;;0;0;0;;No;;;1301;680r_5.gif;;0
add;820;;;0;0;0;;No;;;1301;820r_5.gif;;0
add;1 k;;;0;0;0;;No;;;1301;1k_5.gif;;0
add;1.2 k;;;0;0;0;;No;;;1301;1.2k_5.gif;;0
add;1.5 k;;;0;0;0;;No;;;1301;1.5k_5.gif;;0
add;1.8 k;;;0;0;0;;No;;;1301;1.8k_5.gif;;0
add;2.2 k;;;0;0;0;;No;;;1301;2.2k_5.gif;;0
add;2.7 k;;;0;0;0;;No;;;1301;2.7k_5.gif;;0
add;3.3 k;;;0;0;0;;No;;;1301;3.3k_5.gif;;0
add;3.9 k;;;0;0;0;;No;;;1301;3.9k_5.gif;;0
add;4.7 k;;;0;0;0;;No;;;1301;4.7k_5.gif;;0
add;5.6 k;;;0;0;0;;No;;;1301;5.6k_5.gif;;0
add;6.8 k;;;0;0;0;;No;;;1301;6.8k_5.gif;;0
add;8.2 k;;;0;0;0;;No;;;1301;8.2k_5.gif;;0
add;10 k;;;0;0;0;;No;;;1301;10k_5.gif;;0
add;12 k;;;0;0;0;;No;;;1301;12k_5.gif;;0
add;15 k;;;0;0;0;;No;;;1301;15k_5.gif;;0
add;18 k;;;0;0;0;;No;;;1301;18k_5.gif;;0
add;22 k;;;0;0;0;;No;;;1301;22k_5.gif;;0
add;27 k;;;0;0;0;;No;;;1301;27k_5.gif;;0
add;33 k;;;0;0;0;;No;;;1301;33k_5.gif;;0
