action;name;manufacturer;package;pins;quantity;order_quantity;location;scrap;datasheet;comment;category;cimage;appnote;price
add;11 Ω;;;0;0;0;;No;;;1303;;;0
add;13 Ω;;;0;0;0;;No;;;1303;;;0
add;16 Ω;;;0;0;0;;No;;;1303;;;0
add;20 Ω;;;0;0;0;;No;;;1303;;;0
add;24 Ω;;;0;0;0;;No;;;1303;;;0
add;30 Ω;;;0;0;0;;No;;;1303;;;0
add;36 Ω;;;0;0;0;;No;;;1303;;;0
add;43 Ω;;;0;0;0;;No;;;1303;;;0
add;51 Ω;;;0;0;0;;No;;;1303;;;0
add;62 Ω;;;0;0;0;;No;;;1303;;;0
add;75 Ω;;;0;0;0;;No;;;1303;;;0
add;91 Ω;;;0;0;0;;No;;;1303;;;0
add;110 Ω;;;0;0;0;;No;;;1303;;;0
add;130 Ω;;;0;0;0;;No;;;1303;;;0
add;160 Ω;;;0;0;0;;No;;;1303;;;0
add;200 Ω;;;0;0;0;;No;;;1303;;;0
add;240 Ω;;;0;0;0;;No;;;1303;;;0
add;300 Ω;;;0;0;0;;No;;;1303;;;0
add;360 Ω;;;0;0;0;;No;;;1303;;;0
add;430 Ω;;;0;0;0;;No;;;1303;;;0
add;510 Ω;;;0;0;0;;No;;;1303;;;0
add;620 Ω;;;0;0;0;;No;;;1303;;;0
add;750 Ω;;;0;0;0;;No;;;1303;;;0
add;910 Ω;;;0;0;0;;No;;;1303;;;0
add;1,1 kΩ;;;0;0;0;;No;;;1303;;;0
add;1,3 kΩ;;;0;0;0;;No;;;1303;;;0
add;1,6 kΩ;;;0;0;0;;No;;;1303;;;0
add;2,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;2,4 kΩ;;;0;0;0;;No;;;1303;;;0
add;3,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;3,6 kΩ;;;0;0;0;;No;;;1303;;;0
add;4,3 kΩ;;;0;0;0;;No;;;1303;;;0
add;5,1 kΩ;;;0;0;0;;No;;;1303;;;0
add;6,2 kΩ;;;0;0;0;;No;;;1303;;;0
add;7,5 kΩ;;;0;0;0;;No;;;1303;;;0
add;9,1 kΩ;;;0;0;0;;No;;;1303;;;0
add;11,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;13,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;16,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;20,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;24,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;30,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;36,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;43,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;51,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;62,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;75,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;91,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;110,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;130,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;160,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;200,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;240,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;300,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;360,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;430,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;510,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;620,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;750,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;910,0 kΩ;;;0;0;0;;No;;;1303;;;0
add;1,1 MΩ;;;0;0;0;;No;;;1303;;;0
add;1,3 MΩ;;;0;0;0;;No;;;1303;;;0
add;1,6 MΩ;;;0;0;0;;No;;;1303;;;0
add;2,0 MΩ;;;0;0;0;;No;;;1303;;;0
add;2,4 MΩ;;;0;0;0;;No;;;1303;;;0
add;3,0 MΩ;;;0;0;0;;No;;;1303;;;0
add;3,6 MΩ;;;0;0;0;;No;;;1303;;;0
add;4,3 MΩ;;;0;0;0;;No;;;1303;;;0
add;5,1 MΩ;;;0;0;0;;No;;;1303;;;0
add;6,2 MΩ;;;0;0;0;;No;;;1303;;;0
add;7,5 MΩ;;;0;0;0;;No;;;1303;;;0
add;9,1 MΩ;;;0;0;0;;No;;;1303;;;0
